station_abbr;reference_timestamp;tre200h0;tre200hn;tre200hx;tre005h0;tre005hn;ure200h0;pva200h0;tde200h0;prestah0;pp0qffh0;pp0qnhh0;ppz700h0;ppz850h0;fkl010h1;dkl010h0;fkl010h0;fu3010h0;fu3010h1;fkl010h3;fu3010h3;wcc006h0;fve010h0;rre150h0;htoauths;gre000h0;oli000h0;olo000h0;osr000h0;ods000h0;sre000h0;erefaoh0
BRZ;01.01.2020 00:00;;;;;;;;;964.9;;1032.3;;;1.8;84;1;3.6;6.5;1.8;6.5;;;0;;;;;;;;
BRZ;01.01.2020 01:00;;;;;;;;;964.4;;1031.8;;;2.5;98;1.5;5.4;9;2.4;8.6;;;0;;;;;;;;
BRZ;01.01.2020 02:00;;;;;;;;;963.9;;1031.3;;;1.6;82;0.8;2.9;5.8;1.6;5.8;;;0;;;;;;;;
BRZ;01.01.2020 03:00;;;;;;;;;963.6;;1031;;;1.5;297;0.7;2.5;5.4;1.5;5.4;;;0;;;;;;;;
BRZ;01.01.2020 04:00;;;;;;;;;963.9;;1031.3;;;2.6;103;1.2;4.3;9.4;2.5;9;;;0;;;;;;;;
BRZ;01.01.2020 05:00;;;;;;;;;964.1;;1031.5;;;2.7;94;1.7;6.1;9.7;2.6;9.4;;;0;;;;;;;;
BRZ;01.01.2020 06:00;;;;;;;;;963.8;;1031.1;;;2.2;80;1.2;4.3;7.9;2.2;7.9;;;0;;;;;;;;
BRZ;01.01.2020 07:00;;;;;;;;;963.9;;1031.3;;;2.6;94;1.3;4.7;9.4;2.5;9;;;0;;;;;;;;
BRZ;01.01.2020 08:00;;;;;;;;;964.4;;1031.8;;;3.4;90;2.2;7.9;12.2;3.4;12.2;;;0;;;;;;;;
BRZ;01.01.2020 09:00;;;;;;;;;964.7;;1032.1;;;3.7;92;2.3;8.3;13.3;3.6;13;;;0;;;;;;;;
BRZ;01.01.2020 10:00;;;;;;;;;964.7;;1032.1;;;1.5;104;0.4;1.4;5.4;1.4;5;;;0;;;;;;;;
BRZ;01.01.2020 11:00;;;;;;;;;964.9;;1032.3;;;2.3;90;1.2;4.3;8.3;2.2;7.9;;;0;;;;;;;;
BRZ;01.01.2020 12:00;;;;;;;;;964.9;;1032.3;;;3.4;90;2.1;7.6;12.2;3.3;11.9;;;0;;;;;;;;
BRZ;01.01.2020 13:00;;;;;;;;;964.4;;1031.8;;;2.3;76;1.3;4.7;8.3;2.2;7.9;;;0;;;;;;;;
BRZ;01.01.2020 14:00;;;;;;;;;963.8;;1031.2;;;2;90;1.1;4;7.2;1.9;6.8;;;0;;;;;;;;
BRZ;01.01.2020 15:00;;;;;;;;;963.4;;1030.7;;;1.7;90;0.9;3.2;6.1;1.7;6.1;;;0;;;;;;;;
BRZ;01.01.2020 16:00;;;;;;;;;963.5;;1030.8;;;1.3;90;0.8;2.9;4.7;1.3;4.7;;;0;;;;;;;;
BRZ;01.01.2020 17:00;;;;;;;;;963.7;;1031.1;;;1.1;63;0.2;0.7;4;1.1;4;;;0;;;;;;;;
BRZ;01.01.2020 18:00;;;;;;;;;963.9;;1031.3;;;1.9;90;1.2;4.3;6.8;1.9;6.8;;;0;;;;;;;;
BRZ;01.01.2020 19:00;;;;;;;;;964.1;;1031.5;;;2.4;93;1.7;6.1;8.6;2.4;8.6;;;0;;;;;;;;
BRZ;01.01.2020 20:00;;;;;;;;;964.1;;1031.5;;;2.6;96;1.8;6.5;9.4;2.6;9.4;;;0;;;;;;;;
BRZ;01.01.2020 21:00;;;;;;;;;963.9;;1031.3;;;2.2;90;1.6;5.8;7.9;2.2;7.9;;;0;;;;;;;;
BRZ;01.01.2020 22:00;;;;;;;;;963.7;;1031.1;;;2.2;86;1.4;5;7.9;2.2;7.9;;;0;;;;;;;;
BRZ;01.01.2020 23:00;;;;;;;;;963.8;;1031.2;;;3.7;90;2.3;8.3;13.3;3.6;13;;;0;;;;;;;;
BRZ;02.01.2020 00:00;;;;;;;;;963.6;;1030.9;;;3.1;93;1.9;6.8;11.2;3;10.8;;;0;;;;;;;;
BRZ;02.01.2020 01:00;;;;;;;;;963.1;;1030.4;;;2.2;86;1.4;5;7.9;2.1;7.6;;;0;;;;;;;;
BRZ;02.01.2020 02:00;;;;;;;;;963.3;;1030.6;;;3.1;90;1.7;6.1;11.2;3;10.8;;;0;;;;;;;;
BRZ;02.01.2020 03:00;;;;;;;;;963.6;;1030.9;;;3.3;83;2.3;8.3;11.9;3.2;11.5;;;0;;;;;;;;
BRZ;02.01.2020 04:00;;;;;;;;;963.1;;1030.4;;;2.7;86;1.5;5.4;9.7;2.6;9.4;;;0;;;;;;;;
