avalanche_id,location,trigger_date_time,trigger_date_time_accuracy_code,trigger_type,avalanche_type,avalanche_size,avalanche_moisture,start_zone_aspect,snow_depth_sat,lat,lon,Avalanche Event,closest_station,station_abbr,tre200h0,tre200hn,tre200hx,tre005h0,tre005hn,ure200h0,pva200h0,tde200h0,prestah0,pp0qffh0,pp0qnhh0,ppz700h0,ppz850h0,fkl010h1,dkl010h0,fkl010h0,fu3010h0,fu3010h1,fkl010h3,fu3010h3,wcc006h0,fve010h0,rre150h0,htoauths,gre000h0,oli000h0,olo000h0,osr000h0,ods000h0,sre000h0,erefaoh0
0d6a183c-f453-4a31-98c7-90213921e278,8.417328 46.785788,2023-04-01 06:30:00.000 +0200,2,EXPLOSIVE,SLAB,1,DRY,NW,79,46.785788,8.417328,1,TIT,TIT,-10.8,-10.8,-10.7,,,95.6,2.6,-11.4,685.8,,1004.3,2940.2,,26.1,286.0,14.8,53.3,94.0,25.5,91.8,,,,,7.0,,,,,,0.008
a7ed94b7-52d1-4b17-9928-83b4745ca8bf,8.307745 46.608205,2023-05-04 12:00:00+02:00,7,NATURAL,UNKNOWN,3,WET,,117,46.584696521056,8.29709143859324,0,GRH,GRH,10.1,9.2,11.0,,,35.6,4.4,-4.6,807.6,,1024.0,,1533.2,5.4,174.0,2.3,8.3,19.4,5.2,18.7,,,0.0,147.0,1007.0,257.0,,,,60.0,0.533
74720590-2505-48bc-ad7b-327442e7d8ae,8.216759 46.608474,2023-04-22 12:00:00+02:00,7,PERSON,SLAB,1,DRY,N,87,46.61730609571555,8.227025495690288,0,GRH,GRH,8.3,7.7,8.9,,,45.6,5.0,-2.8,800.5,,1015.4,,1462.6,6.8,152.0,3.9,14.0,24.5,6.3,22.7,,,0.0,175.0,926.0,278.0,,,,30.0,0.448
a4ad0c82-16f6-4de1-af92-ac146cabf042,8.423474 46.779387,2023-05-02 07:30:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,N,0,46.81374989368975,8.419820294928536,0,ENG,ENG,5.9,5.7,6.1,6.1,5.9,93.1,8.7,4.9,902.2,,1021.5,,1522.4,2.7,108.0,0.7,2.5,9.7,2.6,9.4,0.0,,0.0,0.0,32.0,330.0,,,,0.0,0.029
ff002b7f-49f5-4ba6-971a-c1b18578a2b6,8.389256 46.787371,2023-04-17 08:30:00+02:00,2,EXPLOSIVE,SLAB,1,DRY,N,0,46.83041748822188,8.384884313873902,0,ENG,ENG,4.0,3.0,5.4,7.8,4.9,89.2,7.3,2.4,900.3,,1019.4,,1502.5,3.8,135.0,0.8,2.9,13.7,3.6,13.0,0.0,,0.0,0.0,430.0,288.0,,,,28.0,0.168
8500f990-d7a6-11ed-a8d1-4961cd70d9e1,8.209308 46.504515,2023-04-10 12:00:00+02:00,7,NATURAL,SLAB,4,WET,S,216,46.522762390711165,8.196791941141083,0,ULR,ULR,11.7,11.1,12.6,17.6,17.1,23.5,3.3,-8.5,868.1,,1020.8,,1523.7,4.6,56.0,2.1,7.6,16.6,4.5,16.2,,,0.0,0.0,794.0,256.0,,,317.0,60.0,0.441
27d50482-68af-45c1-b95c-82786dd48176,7.97274 46.575625,2023-04-02 08:00:00+02:00,3,EXPLOSIVE,LOOSE_SNOW,1,DRY,N,144,46.54821446358012,7.976520687450214,0,JUN,JUN,-15.1,-15.4,-14.9,,,77.9,1.5,-18.1,647.3,,1007.6,2979.0,,6.8,315.0,5.0,18.0,24.5,6.7,24.1,,,,,458.0,150.0,,,,60.0,0.07
50374fe0-d439-11ed-a920-a702e6e7f311,8.245848 46.760908,2023-04-08 16:00:00+02:00,2,NATURAL,FULL_DEPTH,1,WET,SW,42,46.786555003739984,8.277538705566936,0,GIH,GIH,11.4,10.6,12.1,,,60.9,8.2,4.1,965.3,1021.1,1021.1,,,6.6,55.0,2.8,10.1,23.8,6.5,23.4,0.0,,0.0,,170.0,,,,168.0,0.0,0.124
b2ae7f83-144e-4307-bbca-2bcde419c704,8.384786 46.783437,2023-04-19 08:30:00+02:00,4,EXPLOSIVE,LOOSE_SNOW,1,DRY,N,205,46.76987371884463,8.405205252069464,0,TIT,TIT,-6.5,-6.7,-6.4,,,78.4,3.0,-9.7,696.0,,1018.1,3052.4,,9.7,308.0,7.0,25.2,34.9,9.4,33.8,,,,,545.0,,,,,,0.12
26d0ed0c-b5fc-4983-9f76-b0f25e82ece7,8.388771 46.786265,2023-04-18 08:30:00+02:00,4,EXPLOSIVE,LOOSE_SNOW,1,DRY,NW,119,46.7546015877947,8.415829024766438,0,TIT,TIT,-6.1,-7.1,-5.1,,,76.1,3.0,-9.7,694.1,,1015.6,3031.7,,4.1,233.0,1.3,4.7,14.8,3.9,14.0,,,,,514.0,,,,,,0.154
