WSL Institute for Snow and Avalanche Research SLF
Avalanches between 2023-04-01 and 2023-07-01
Create at: 2025-05-09
"avalanche_id","location","trigger_date_time","trigger_date_time_accuracy_code","trigger_type","avalanche_type","avalanche_size","avalanche_moisture","start_zone_aspect"
f9d63b0f-4a9d-443d-9df5-30e8ba818ef2,POINT(9.80967 46.832453),2023-04-01 10:44:00.000 +0200,1,PERSON,SLAB,2,DRY,NE
"216c2530-d139-11ed-80fa-f54d650c1715",POINT(7.74259 46.055277),2023-04-02 10:05:00.000 +0200,0,EXPLOSIVE,SLAB,4,DRY,S
d58cf800-d139-11ed-af01-234d49385de9,POINT(7.737122 46.047328),2023-04-02 09:55:00.000 +0200,0,EXPLOSIVE,SLAB,3,DRY,E
"36855710-d13a-11ed-af01-234d49385de9",POINT(7.736374 46.053393),2023-04-02 09:54:00.000 +0200,0,EXPLOSIVE,SLAB,3,DRY,SE
"6ab88170-d157-11ed-991a-6bfa9504affb",POINT(8.936376 46.932609),2023-04-02 14:20:00.000 +0200,0,NATURAL,FULL_DEPTH,3,DRY,E
dae37290-d227-11ed-8b83-1b495f7717f9,POINT(7.318448 46.081671),2023-04-03 10:15:00.000 +0200,0,PERSON,SLAB,3,DRY,NE
"529be39a-6940-474e-819d-ecc1112219d8",POINT(7.315027 46.078292),2023-04-04 09:40:00.000 +0200,1,PERSON,SLAB,3,DRY,SW
b986bc60-d484-11ed-b129-0760e16a2fe5,POINT(10.051614 46.874986),2023-04-05 12:00:00.000 +0200,6,PERSON,SLAB,2,DRY,W
"48531c20-d699-11ed-96c4-0104b7e5b093",POINT(7.868903 46.066336),2023-04-08 10:20:00.000 +0200,1,PERSON,SLAB,4,DRY,E
c84a1d40-d525-11ed-8426-6dfdd198dec2,POINT(7.175361 45.867225),2023-04-06 12:00:00.000 +0200,7,PERSON,SLAB,1,DRY,N
a711c680-d757-11ed-81f0-b17ecf9094e0,POINT(9.314962 47.154835),2023-04-09 09:45:00.000 +0200,1,PERSON,SLAB,1,DRY,E
