station_abbr;reference_timestamp;tre200h0;tre200hn;tre200hx;tre005h0;tre005hn;ure200h0;pva200h0;tde200h0;prestah0;pp0qffh0;pp0qnhh0;ppz700h0;ppz850h0;fkl010h1;dkl010h0;fkl010h0;fu3010h0;fu3010h1;fkl010h3;fu3010h3;wcc006h0;fve010h0;rre150h0;htoauths;gre000h0;oli000h0;olo000h0;osr000h0;ods000h0;sre000h0;erefaoh0
FRU;01.01.2020 00:00;-2.7;-3.5;-1.9;;;97.2;4.9;-3.1;;;;;;2.2;225;0.8;2.9;7.9;1.8;6.5;;;0;;1;237;;;0;0;
FRU;01.01.2020 01:00;-3.3;-3.6;-2.9;;;98.6;4.7;-3.5;;;;;;2;225;0.8;2.9;7.2;1.9;6.8;;;0;;1;235;;;0;0;
FRU;01.01.2020 02:00;-3.3;-3.7;-2.5;;;98.9;4.8;-3.4;;;;;;2.1;225;0.8;2.9;7.6;2.1;7.6;;;0;;1;233;;;0;0;
FRU;01.01.2020 03:00;-3.7;-4.3;-2.9;;;98.7;4.6;-3.9;;;;;;2;211;0.9;3.2;7.2;1.9;6.8;;;0;;1;232;;;0;0;
FRU;01.01.2020 04:00;-4.1;-4.7;-3.4;;;99;4.5;-4.2;;;;;;2.4;360;0.9;3.2;8.6;2.1;7.6;;;0;;1;231;;;0;0;
FRU;01.01.2020 05:00;-3.4;-3.6;-3.1;;;99.3;4.7;-3.5;;;;;;3.1;29;1.5;5.4;11.2;2.9;10.4;;;0;;1;256;;;0;0;
FRU;01.01.2020 06:00;-4.3;-5.3;-3.3;;;99.3;4.4;-4.4;;;;;;1.9;247;0.9;3.2;6.8;1.8;6.5;;;0;;1;249;;;0;0;
FRU;01.01.2020 07:00;-5.4;-5.8;-4.8;;;;;;;;;;;3.2;27;0.9;3.2;11.5;3.1;11.2;;;0;;1;225;;;0;0;
FRU;01.01.2020 08:00;-5.1;-5.4;-4.6;;;;;;;;;;;3.2;90;1.1;4;11.5;3;10.8;;;0;;7;223;;;5;0;
FRU;01.01.2020 09:00;-5;-5.4;-4.6;;;;;;;;;;;1.4;360;0.6;2.2;5;1.3;4.7;;;0;;19;223;;;17;0;
FRU;01.01.2020 10:00;-3.9;-4.7;-2.6;;;;;;;;;;;1.8;27;0.7;2.5;6.5;1.8;6.5;;;0;;163;224;;;40;38;
FRU;01.01.2020 11:00;-2.1;-2.5;-1.5;;;;;;;;;;;3.2;40;1.8;6.5;11.5;3.1;11.2;;;0;;319;239;;;120;52;
FRU;01.01.2020 12:00;-0.7;-1.2;-0.5;;;;;;;;;;;3.6;43;1.9;6.8;13;3.4;12.2;;;0;;352;238;;;89;60;
FRU;01.01.2020 13:00;-0.4;-0.6;-0.2;;;;;;;;;;;3.5;37;2.2;7.9;12.6;3.4;12.2;;;0;;264;265;;;177;18;
