avalanche_id,location,trigger_date_time,trigger_date_time_accuracy_code,trigger_type,avalanche_type,avalanche_size,avalanche_moisture,start_zone_aspect,snow_depth_sat,lat,lon,Avalanche Event,closest_station,station_abbr,tre200h0,tre200hn,tre200hx,tre005h0,tre005hn,ure200h0,pva200h0,tde200h0,prestah0,pp0qffh0,pp0qnhh0,ppz700h0,ppz850h0,fkl010h1,dkl010h0,fkl010h0,fu3010h0,fu3010h1,fkl010h3,fu3010h3,wcc006h0,fve010h0,rre150h0,htoauths,gre000h0,oli000h0,olo000h0,osr000h0,ods000h0,sre000h0,erefaoh0,elevation,gradient_x,gradient_y,gradient_magnitude,aspect
20077a30-ec16-11ed-aa20-6507e99101f4,8.022203 46.505884,2023-05-06 14:00:00.000 +0200,0,PERSON,SLAB,2,WET,E,90,46.505884,8.022203,1,JUN,JUN,-2.4,-2.6,-2.2,,,73.0,3.8,-6.5,660.2,,1026.1,3108.0,,9.0,320.0,3.7,13.3,32.4,8.7,31.3,,,,,827.0,224.0,,,,57.0,0.275,638.0261840820312,-635.77880859375,765.41748046875,995.026940772971,39.71404307188509
8500f990-d7a6-11ed-a8d1-4961cd70d9e1,8.209308 46.504515,2023-04-12 12:00:00+02:00,7,NATURAL,SLAB,4,WET,S,232,46.504515,8.209308,0,ULR,ULR,11.2,10.8,11.8,14.7,13.8,50.5,6.7,1.3,855.9,,1006.8,,1404.7,7.0,101.0,2.3,8.3,25.2,6.9,24.8,,,0.0,0.0,467.0,321.0,,,434.0,0.0,0.275,685.5072631835938,-1156.201171875,134.2529296875,1163.9695008782662,83.37672982311005
6e6f00b6-dfe0-4527-9b3f-7c45ffdf4fee,8.379219 46.783826,2023-04-01 07:00:00.000 +0200,4,EXPLOSIVE,SLAB,2,DRY,N,114,46.783826,8.379219,1,TIT,TIT,-10.8,-10.8,-10.6,,,97.0,2.6,-11.1,686.0,,1004.5,2941.7,,25.3,286.0,14.5,52.2,91.1,24.5,88.2,,,,,91.0,,,,,,0.013,740.6515502929688,-445.05615234375,-1093.90869140625,1180.9789176243398,157.8610771717615
792e43cf-e040-4ad1-98dd-47672e4855cd,8.426192 46.777884,2023-04-13 07:00:00.000 +0200,0,EXPLOSIVE,SLAB,2,DRY,NE,161,46.777884,8.426192,1,TIT,TIT,-13.5,-13.7,-13.0,,,100.0,2.2,-13.5,683.5,,1001.1,2915.8,,10.2,306.0,5.7,20.5,36.7,9.9,35.6,,,,,127.0,,,,,,0.019,762.9501342773438,-1177.0751953125,-389.90478515625,1239.9724823187414,108.32739193972753
bc76da5f-d990-4bb2-a099-1ab0703da0a4,8.422538 46.779775,2023-05-03 07:30:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,N,107,46.779775,8.422538,0,TIT,TIT,-1.2,-1.4,-1.0,,,12.9,0.7,-26.3,700.1,,1023.7,3098.4,,15.2,59.0,9.4,33.8,54.7,14.1,50.8,,,,,410.0,,,,,,0.202,760.8377075195312,-135.46142578125,-1545.99609375,1551.91936638633,174.99248631940367
11f734d7-e1b6-4c3b-8fe6-abdd0b39cea0,8.385873 46.778735,2023-04-12 08:00:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,NE,77,46.778735,8.385873,0,TIT,TIT,-4.5,-4.7,-4.3,,,96.7,4.2,-5.0,689.8,,1009.7,2982.1,,21.3,256.0,9.9,35.6,76.7,20.0,72.0,,,,,216.0,,,,,,0.045,738.159423828125,-807.4951171875,-2791.95556640625,2906.383362371265,163.86896488795355
233c98fe-a27b-4c5e-992f-1bc9cdd0362a,8.422835 46.779803,2023-04-25 07:00:00.000 +0200,3,EXPLOSIVE,SLAB,2,DRY,N,137,46.779803,8.422835,1,TIT,TIT,-10.2,-10.4,-10.0,,,98.9,2.8,-10.3,687.7,,1006.9,2961.3,,16.3,291.0,10.1,36.4,58.7,15.8,56.9,,,,,90.0,,,,,,0.015,761.37451171875,-2.08740234375,-1899.31640625,1899.3175533067028,179.93703034634154
b1c2736c-200d-4a78-a75a-d1aa12bb81e8,7.992735 46.584254,2023-06-05 08:00:00.000 +0200,3,EXPLOSIVE,UNKNOWN,0,UNKNOWN,,4,46.584254,7.992735,1,JUN,JUN,-2.8,-3.1,-2.3,,,58.3,2.9,-9.9,659.1,,1024.6,3096.0,,2.9,323.0,0.5,1.8,10.4,2.8,10.1,,,,,685.0,192.0,,,,60.0,0.264,629.8162231445312,-922.6318359375,1105.8837890625,1440.2181986062508,39.83802821390573
f4bf91bd-2855-4c53-b901-3cb18add524d,8.420301 46.78111,2023-04-17 08:00:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,N,160,46.78111,8.420301,0,TIT,TIT,-9.6,-9.7,-9.4,,,91.6,2.7,-10.7,694.0,,1015.4,3030.7,,16.1,31.0,6.3,22.7,58.0,15.2,54.7,,,,,296.0,,,,,,0.057,759.58349609375,874.072265625,-621.826171875,1072.6929260340712,234.57146728890586
9793e5e8-7a24-425c-8b33-04a387b5aa44,8.40304 46.792701,2023-04-05 06:30:00+02:00,2,EXPLOSIVE,SLAB,1,DRY,NW,61,46.792701,8.40304,0,ENG,ENG,-3.7,-4.3,-3.4,-5.7,-6.1,93.1,4.3,-4.7,898.2,,1017.1,,1470.5,2.0,198.0,0.7,2.5,7.2,1.9,6.8,0.0,,0.0,0.0,12.0,226.0,,,,0.0,0.012,753.0325317382812,-2151.45263671875,-107.33642578125,2154.1284911405714,92.8561304264642
