,features
0,sum_up_3_diff
1,sum_up
2,S5
3,MS_Evap_daily
4,S5_daily
5,LWR_net
6,HN24
7,pAlbedo
8,mean_lwc_3_diff
9,MS_Rain_daily
10,HS_3_diff
11,HN24_daily
12,Qw_daily
13,zSd
14,HS
15,max_lwc
16,ISWR_h_daily
17,max_depth_wet_layer
18,HN72_24_daily
19,prop_wet_2_diff
20,TSS_mod_daily
21,ILWR_daily
22,pAlbedo_daily
23,RH_daily
24,water_2_diff
25,mean_lwc_2_diff
26,mean_lwc
27,prop_wet_3_diff
28,water_1_diff
29,HS_2_diff
30,Qs
31,TA
32,Qs_daily
33,MS_Sublimation_daily
34,TA_daily
35,water
36,ISWR_diff_daily
37,MS_Water_daily
38,water_3_diff
39,prop_wet
40,prop_up
41,depth_max_lwc_2
42,ILWR
43,Qg0_daily
44,TSS_mod
45,HS_1_diff
